InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
4678,4678,4678,0,0,0,0,,Lao1997.LL,Lao1997.LL,Lao1997.LL,Lao 1997,GCS_Lao_1997,,,,,,,,,,,,,0,0,0
4679,4679,4679,0,0,0,0,,Jouik1961.LL,Jouik1961.LL,Jouik1961.LL,Jouik 1961,GCS_Jouik_1961,,,,,,,,,,,,,0,0,0
4680,4680,4680,0,0,0,0,,Nouakchott1965.LL,Nouakchott1965.LL,Nouakchott1965.LL,Nouakchott 1965,GCS_Nouakchott_1965,,,,,,,,,,,,,0,0,0
4681,4681,4681,0,0,0,0,,Mauritania1999.LL,Mauritania1999.LL,Mauritania1999.LL,Mauritania 1999,GCS_Mauritania_1999,,,,,,,,,,,,,0,0,0
4682,4682,4682,0,0,0,0,,Gulshan-303.LL,Gulshan-303.LL,Gulshan-303.LL,Gulshan 303,GCS_Gulshan_303,,,,,,,,,,,,,0,0,0
4683,4683,0,0,0,0,0,,Philippine1992.LL,Philippine1992.LL,Philippine1992.LL,PRS92,,,,,,,,,,,,,,0,0,0
4684,4684,37232,0,0,0,0,,Gan1970.LL,Gan70.LL,Gan1970.LL,Gan 1970,GCS_Gan_1970,,,,,,,,,,,,,0,0,0
4685,4685,0,0,0,0,0,,Gandajika.LL,Gandajika.LL,Gandajika.LL,Gandajika,,,,,,,,,,,,,,0,0,0
4686,4686,0,0,0,0,0,,MarcoGNR.LL,MarcoGNR.LL,MarcoGNR.LL,MAGNA-SIRGAS,GCS_MAGNA,,,,,,,,,,,,,0,0,0
4687,4687,0,0,0,0,0,,RGP-Francaise.LL,RGP-Francaise.LL,RGP-Francaise.LL,RGPF,,,,,,,,,,,,,,0,0,0
4688,4688,0,0,0,0,0,,FatuIva/72.LL,FatuIva/72.LL,FatuIva/72.LL,Fatu Iva 72,,,,,,,,,,,,,,0,0,0
