SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
19200,4275,4275,4275,0,0,8266,,NTF.LL,NTF.LL,NTF.LL,NTF,GCS_NTF,NTF,,,NTF,,,,Longitude / Latitude (NTF with Greenwich prime meridian),,,,,0,0,0
19300,4276,4276,4276,0,0,0,,NSWC9Z-2.LL,NSWC9Z-2.LL,,NSWC 9Z-2,GCS_NSWC_9Z_2,NSWC 9Z-2,,,NSWC 9Z-2,,,,,,,,,0,0,0
19400,4277,4277,4277,0,0,8274,,OSGB.LL,OSGB.LL,OSGB.LL,OSGB 1936,GCS_OSGB_1936,OSGB 1936,,,OSGB 1936,,,,Longitude / Latitude (OSGB 36),,,,,0,0,0
19500,4278,4278,4278,0,0,0,,OSGB70.LL,OSGB70.LL,,OSGB70,GCS_OSGB_1970_SN,OSGB70,,,OSGB70,,,,,,,,,0,0,0
19600,4279,4279,4279,0,0,0,,"OS-SN1980,LL","OS-SN1980,LL",,OS(SN)80,GCS_OS_SN_1980,OS(SN)80,,,OS(SN)80,,,,,,,,,0,0,0
19700,4280,4280,4280,0,0,0,,Padang1884.LL,Padang1884.LL,,Padang,GCS_Padang_1884,Padang,,,Padang,,,,,,,,,0,0,0
19800,4281,4281,4281,0,0,0,,Palestine23.LL,Palestine23.LL,Palestine23.LL,Palestine 1923,GCS_Palestine_1923,Palestine 1923,,,Palestine 1923,,,,Palestine 1923,,,,,0,0,0
19900,4282,4282,4282,0,0,0,,PointeNoire.LL,PointeNoire.LL,PointeNoire60.LL,Pointe Noire,GCS_Pointe_Noire,Pointe Noire,,,Pointe Noire,,,,,,,,,0,0,0
20000,4283,4283,5807,0,0,8311,,LL-GDA94,GDA94.LL,LL-GDA94,GDA94,GCS_GDA_1994,GDA94,,,GDA94,,,,Longitude / Latitude (GDA 94),,,,,0,0,0
20100,4284,4284,2000005,0,0,8285,,Pulkovo42.LL,Pulkovo42.LL,Pulkovo42.LL,Pulkovo 1942,GCS_Pulkovo_1942,Pulkovo 1942,,,Pulkovo 1942,,,,Longitude / Latitude (Pulkovo 1942),,,,,0,0,0
20200,4285,4285,4285,0,0,0,,Qatar74.LL,Qatar74.LL,Qatar1974.LL,Qatar 1974,GCS_Qatar_1974,Qatar 1974,,,Qatar 1974,,,,,,,,,0,0,0
